gene_index,gt,pred,de
0,-0.05067657,-0.072329074,False
12122,-0.07351753,-0.087036125,False
12123,-0.07250965,-0.018058777,False
12124,-0.18335158,-0.16027802,False
12125,0.32922035,-0.0048010945,False
12126,-0.12887168,0.11071789,False
12127,0.07452557,-0.059488177,False
12128,0.045024335,-0.092135936,False
12129,0.02169599,0.08409293,False
12130,-0.08016708,-0.07601227,False
12131,-0.010247977,-0.010247977,False
12132,-0.0045059593,-0.0045059593,False
12133,0.0,0.0,False
12134,0.0,0.0008608221,False
12135,-0.06261721,-0.084044054,False
12136,-0.03669834,0.13427949,False
12137,-0.0011377465,-0.023047596,False
12138,0.022699758,-0.06117314,False
12153,0.0,0.0,False
12152,-0.017607927,0.16741523,False
12151,-0.0033912933,-0.0033912933,False
12150,-0.034525156,-0.22714269,False
12149,0.07914138,0.098029494,False
12148,-0.70720625,-0.8396685,False
12121,-0.0033912933,-0.0015691487,False
12147,-0.37886477,-0.95059526,False
12145,-0.044443086,0.07730615,False
12144,0.060768187,-0.10039249,False
12143,-0.003170982,-0.052536726,False
12142,0.0,0.0,False
12140,-0.0065354593,-0.01809249,False
12139,0.0,0.0,False
12146,0.0029337108,-0.01877283,False
12120,0.023404937,0.0,False
12119,0.0,0.0,False
12118,0.103175,-0.029200323,False
12098,-0.12940544,-0.14019519,False
12097,0.016499564,-0.015815824,False
12096,0.021953642,0.18705256,False
12095,0.10737485,0.052038684,False
12094,0.027284348,0.0022538118,False
12093,-0.0069641285,-0.023296874,False
12099,-0.0854422,-0.08361319,False
12092,-0.021540761,0.30144095,False
12090,-0.015816987,0.5712299,False
12089,-0.06256923,-0.07158467,False
12088,0.02145512,-0.024886003,False
12087,-0.04759366,-0.04759366,False
12086,0.11122453,0.08950102,False
12085,0.020857334,-0.1107857,False
12091,0.00056722853,-0.014665305,False
12154,-0.010731757,-0.049935758,False
12100,0.020420521,-0.13908353,False
12102,-0.02713573,0.34025598,False
12117,0.121916294,0.0510962,False
12116,0.0042229295,-0.04306358,False
12115,-0.07566905,-0.010080844,False
12114,-0.18848217,-0.41068256,False
12112,0.10250309,-0.044744045,False
12111,-0.16576356,0.19013095,False
12101,-0.080320805,0.2008811,False
12110,0.15777963,0.045809597,False
12108,0.02123392,-0.017124847,False
12107,0.078733504,0.004422441,False
12106,0.029885732,-0.021598298,False
12105,-0.091949105,0.04387939,False
12104,0.17009175,0.03975451,False
12103,0.16158092,-0.04847914,False
12109,0.03853232,-0.023386179,False
12084,-0.010219395,0.10687798,False
12155,0.0,0.0,False
12157,-0.03233239,-0.058602154,False
12195,0.09815535,0.048725545,False
12196,0.111080766,-0.4181835,False
12197,0.0,0.0,False
12198,-0.13985121,0.32831746,False
12199,-0.36825716,-0.2929852,False
12200,-0.14194274,-0.08118969,False
12201,0.112417236,-0.07557415,False
12202,-0.017992996,-0.00036763772,False
12203,0.004862739,-0.011816915,False
12204,0.012049464,-0.0055350047,False
12205,0.0514818,-0.019883215,False
12206,-0.02649358,-0.06436674,False
12207,0.033191588,0.020049099,False
12208,0.03932953,0.17448872,False
12209,-0.004802211,-0.004802211,False
12210,-0.067416996,0.09225162,False
12211,-0.010775328,-0.3678745,False
12225,-0.13657308,0.12144825,False
12224,-0.14644814,-0.055628598,False
12223,0.024954528,0.16070007,False
12222,0.10181725,-0.28996933,False
12221,-0.011774423,-0.029078152,False
12220,-0.0050021075,-0.0050021075,False
12194,-0.0066239685,-0.02712243,False
12219,0.0,0.0,False
12217,0.016377594,0.0,False
12216,0.0,0.0,False
12215,0.0,2.9821362e-05,False
12214,-0.0033912933,-0.00094199297,False
12213,-0.016733997,-0.04889485,False
12212,0.10702485,-0.19423789,False
12218,-0.12968054,-0.034171946,False
12193,-0.031781986,-0.09965201,False
12192,0.003991425,-0.22127992,False
12191,-0.1817539,0.09238911,False
12172,-0.004503161,-0.0042612483,False
12171,-0.045872007,-0.051328305,False
12170,-0.023857573,-0.020213049,False
12169,-0.012677967,-0.012561006,False
12168,0.10794976,-0.04303897,False
12167,0.0730018,-0.08183929,False
12173,-0.048123345,-0.007028345,False
12166,0.087146595,-0.083708055,False
12164,0.0016770959,-0.07985389,False
12163,0.015140757,-0.048278898,False
12162,-0.018500667,-0.035454184,False
12161,0.00037238747,-0.014900774,False
12160,0.0,0.0011841143,False
12159,0.042775102,-0.003625749,False
12165,-0.73052716,-1.2942889,False
12156,0.036403522,-0.022304356,False
12174,0.0,0.0,False
12176,0.033359177,-0.02274614,False
12190,0.02261592,-0.03380244,False
12189,-0.010486238,-0.010402104,False
12188,0.00010441616,-0.0072308704,False
12187,-0.055554748,-0.120574534,False
12186,0.118211925,0.021186948,False
12185,0.023180028,0.0,False
12175,0.013235293,0.0118896365,False
12184,-0.008799179,-0.008799179,False
12182,-0.026195616,0.079344705,False
12181,-0.03799048,-0.10710241,False
12180,0.030083075,-0.009961537,False
12179,0.049132477,0.01022321,False
12178,-0.008436941,-0.0067547727,False
12177,-0.016799808,-0.05736485,False
12183,-0.12255323,-0.3528881,False
12226,0.02985508,0.033274725,False
12083,-0.122270286,0.04376346,False
12081,-0.06623015,0.008362532,False
11979,0.023130774,-0.060295373,False
11980,-0.107525274,-0.00020103157,False
11981,0.0463835,-0.055691004,False
11982,0.037202954,0.16939467,False
11983,-0.066268355,-0.1548415,False
11984,-0.0085038245,0.099910855,False
11985,-0.02866596,-0.048713326,False
11986,0.0174976,-0.12059185,False
11987,-0.31244314,-0.43920743,False
11988,-0.0071746856,0.3627692,False
11989,0.028853238,0.109669924,False
11990,-0.061694145,-0.2020359,False
11991,-0.27405918,-0.23833764,False
11992,-0.033842564,-0.37457108,False
11993,-0.018533539,-0.014220977,False
11994,0.046588436,-0.049585134,False
11995,-0.010345846,-0.07866576,False
12009,-0.2684368,-0.009608626,False
12008,0.09371221,-0.08523345,False
12007,0.08233783,0.082853526,False
12006,-0.014216751,0.076663315,False
12005,0.16388226,0.05988002,False
12004,0.014866695,-0.106073,False
11978,-0.09315285,-0.07164624,False
12003,-0.0674918,0.07359886,False
12001,0.1958488,0.10419199,False
12000,0.22718483,-0.038224995,False
11999,-0.033242278,-0.033242278,False
11998,-0.014424308,-0.014424308,False
11997,0.03844072,-0.03285095,False
11996,0.10066557,0.15670848,False
12002,-0.4252231,-0.7401545,False
11977,-0.0033912933,-0.0030124628,False
11976,-0.41227603,-0.23694468,False
11975,-0.77830863,-0.88894606,False
11956,-0.5495571,-0.27102828,False
11955,-0.017071977,0.054764986,False
11954,-0.2343399,-0.07639301,False
11953,-0.114782356,-0.18166988,False
11952,-0.011864692,0.011957675,False
11951,0.028109409,-0.004429713,False
11957,-0.3422556,0.38059998,False
11950,-0.22987914,-0.3975258,False
11948,0.19453955,0.16361094,False
11947,-0.2041905,-0.51404,False
11946,-0.21032286,-0.1677469,False
11945,0.059667096,-0.030563068,False
11944,-0.014040053,0.0450581,False
11943,-0.026039079,-0.010926239,False
11949,0.13535118,-0.20275497,False
12010,0.06199372,-0.34203607,False
11958,-0.016695898,-0.016695898,False
11960,0.028163001,-0.05043503,False
11974,-0.009789228,-0.0013885498,False
11973,-0.025458708,-0.20387231,False
11972,-0.009039648,-0.009039648,False
11971,0.04700476,-0.082170635,False
11970,0.047617666,-0.014922537,False
11969,0.007874101,0.027655214,False
11959,-0.0073791556,-0.0303581,False
11968,0.014680276,-0.02450361,False
11966,-0.005863026,-0.13429919,False
11965,-0.12507632,-0.12988225,False
11964,0.098841205,0.08922775,False
11963,-0.0012539774,-0.04768929,False
11962,-0.033428673,-0.033428673,False
11961,-0.65294826,-0.57777524,False
11967,0.005789198,-0.04964979,False
12082,0.12890941,0.087174624,False
12011,-0.2610344,-0.0900116,False
12013,0.09983766,-0.19915867,False
12050,-0.008750975,-0.083839536,False
12051,0.074065626,0.019504368,False
12052,0.026958346,-0.11771798,False
12053,-0.004784322,-0.0033331527,False
12054,-0.036812693,0.027892083,False
12055,-0.042947434,-0.050572388,False
